grupo,url,file,size_mb,status
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2016_2017.zip,tx_transicao_brasil_regioes_ufs_2016_2017.zip,0.173671,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2016_2017.zip,tx_transicao_municipios_2016_2017.zip,18.072452,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2017_2018.zip,tx_transicao_brasil_regioes_ufs_2017_2018.zip,0.17213,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2017_2018.zip,tx_transicao_municipios_2017_2018.zip,17.681736,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2018_2019.zip,tx_transicao_brasil_regioes_ufs_2018_2019.zip,0.17123,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2018_2019.zip,tx_transicao_municipios_2018_2019.zip,17.593395,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2019_2020.zip,tx_transicao_brasil_regioes_ufs_2019_2020.zip,0.169526,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2019_2020.zip,tx_transicao_municipios_2019_2020.zip,17.273274,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2020_2021.zip,tx_transicao_brasil_regioes_ufs_2020_2021.zip,0.161771,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2020_2021.zip,tx_transicao_municipios_2020_2021.zip,16.241881,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2021_2022.zip,tx_transicao_brasil_regioes_ufs_2021_2022.zip,0.165841,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2021_2022.zip,tx_transicao_municipios_2021_2022.zip,16.674294,skipped
docs,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2007_2016/nota_tecnica_taxas_transicao_2007_2016.pdf,nota_tecnica_taxas_transicao_2007_2016.pdf,0.750058,skipped
docs,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2017/metodologia_indicadores_trajetoria_curso.pdf,metodologia_indicadores_trajetoria_curso.pdf,1.836772,skipped
docs,https://download.inep.gov.br/publicacoes/institucionais/estatisticas_e_indicadores/dicionario_de_indicadores_educacionais_formulas_de_calculo.pdf,dicionario_de_indicadores_educacionais_formulas_de_calculo.pdf,0.422985,skipped
docs,https://download.inep.gov.br/publicacoes/institucionais/estatisticas_e_indicadores/notas_estatisticas_censo_da_educacao_basica_2024.pdf,notas_estatisticas_censo_da_educacao_basica_2024.pdf,8.955642,skipped
