ano_str,unidade,valor,indicador,etapa,ano_t,ano_t1
2007/2008,Sergipe,68.0,promocao,Total_EM,2007,2008
2007/2008,Bahia,64.6,promocao,Total_EM,2007,2008
2007/2008,Minas Gerais,73.0,promocao,Total_EM,2007,2008
2007/2008,Espírito Santo,73.8,promocao,Total_EM,2007,2008
2007/2008,Rio de Janeiro,63.9,promocao,Total_EM,2007,2008
2007/2008,São Paulo,76.5,promocao,Total_EM,2007,2008
2007/2008,Paraná,75.5,promocao,Total_EM,2007,2008
2007/2008,Santa Catarina,76.9,promocao,Total_EM,2007,2008
2007/2008,Rio Grande do Sul,65.0,promocao,Total_EM,2007,2008
2007/2008,Mato Grosso do Sul,68.6,promocao,Total_EM,2007,2008
2007/2008,Mato Grosso,68.6,promocao,Total_EM,2007,2008
2007/2008,Goiás,69.8,promocao,Total_EM,2007,2008
2007/2008,Distrito Federal,66.2,promocao,Total_EM,2007,2008
2007/2008,Brasil,63.3,promocao,EM_1,2007,2008
2007/2008,Norte,61.8,promocao,EM_1,2007,2008
2007/2008,Nordeste,59.4,promocao,EM_1,2007,2008
2007/2008,Sudeste,67.1,promocao,EM_1,2007,2008
2007/2008,Sul,62.6,promocao,EM_1,2007,2008
2007/2008,Centro-Oeste,61.5,promocao,EM_1,2007,2008
