idade,pop,ano,share
19,3082312.01838612,2021,0.047924448265193695
20,3325941.13129836,2021,0.05171244595913613
21,3368014.06246521,2021,0.052366604915479065
22,3198670.24921317,2021,0.04973361099117242
23,3239978.85468394,2021,0.05037588604768268
24,3397776.70928731,2021,0.05282936093088331
4,3077825.50573076,2022,0.048165361865797514
5,2774092.49902298,2022,0.04341219761024512
6,2957315.51063377,2022,0.04627948252940093
7,3042203.73707781,2022,0.047607911362422824
8,2892657.76207212,2022,0.045267643537521426
9,2877101.49163376,2022,0.04502420108324626
10,2849217.0604145,2022,0.044587833356227013
11,2916643.99959455,2022,0.04564300783543751
12,2911197.51340955,2022,0.04555777494048971
13,2908531.42676141,2022,0.045516052942951475
14,2982285.20571351,2022,0.046670237104978717
15,3043215.10473598,2022,0.04762373840951969
16,3118997.46054435,2022,0.04880966808089206
17,3046928.10821369,2022,0.04768184376857266
18,3133775.96050197,2022,0.04904093908601144
19,3005066.16054462,2022,0.047026739749799144
20,3149818.28150284,2022,0.04929198781984495
21,3253993.61232468,2022,0.05092224349781646
22,3492501.47726101,2022,0.05465468953840821
23,3217694.49800029,2022,0.050354193108479293
24,3250160.13160193,2022,0.050862252771937747
4,3013199.0214652,2023,0.04758463778035053
5,2915864.37569239,2023,0.046047522631439554
6,2816200.54078935,2023,0.044473624774086694
7,2895167.80809055,2023,0.04572068107015722
8,3052126.87675393,2023,0.04819938903982074
9,2868237.3993199,2023,0.04529539427778165
10,2886278.90946964,2023,0.0455803069965799
11,2867731.38167807,2023,0.045287403213791044
12,2920956.36302301,2023,0.04612793563137206
13,2878123.34612193,2023,0.0454515138020279
14,2956185.20187072,2023,0.046684271779116944
15,3014227.87188525,2023,0.0476008854540752
16,3083676.81469183,2023,0.04869762774163656
17,3079028.29007719,2023,0.048624217934177795
18,3025387.64907283,2023,0.047777121391826896
19,2925581.17275705,2023,0.0462009709318715
20,3137368.30984406,2023,0.04954552737604635
21,3145720.79397365,2023,0.049677430356580114
22,3292832.52261105,2023,0.05200062848275233
23,3424730.1886084,2023,0.054083565127775415
24,3124312.1859983,2023,0.04933934420673357
4,2920603.44489023,2024,0.046581975019109594
5,2892230.33473055,2024,0.04612943994079042
6,2895754.92373841,2024,0.04618565514433132
7,2838115.5015107,2024,0.0452663389218484
8,2918827.41961612,2024,0.04655364841931165
9,2953406.82050543,2024,0.04710517032866903
10,2884661.2490322,2024,0.046008717299880396
11,2818602.72115408,2024,0.044955121098451074
12,2982629.23971244,2024,0.047571251406495756
13,2899235.79015613,2024,0.04624117299725955
14,2916418.2646994,2024,0.04651522375938592
15,3034095.99608619,2024,0.04839211709571182
16,2988566.54073658,2024,0.04766594800369087
17,2989947.5154044,2024,0.047687973769493124
18,3065977.58164213,2024,0.048900610374569886
19,2842200.10151794,2024,0.04533148598446424
20,3023863.90407936,2024,0.04822892100858493
21,3048201.4718692,2024,0.048617091465890834
22,3176196.89879364,2024,0.050658546217300475
23,3283273.08561568,2024,0.052366350906914286
24,3325336.64008324,2024,0.05303724083784651
4,2818924.07628287,2025,0.04546124379887301
5,2783183.92058916,2025,0.044884856536416495
6,2833757.8907214,2025,0.045700471119796984
7,2937739.09670424,2025,0.04737739282033461
8,2709434.47716032,2025,0.043695487352635315
9,3029306.61486784,2025,0.04885411697275745
10,2986715.20898989,2025,0.04816723849218926
11,2880446.99986171,2025,0.0464534339226046
12,2920308.34481524,2025,0.047096284269774275
13,2881824.44635482,2025,0.04647564822463921
14,2987673.78895598,2025,0.04818269766610096
15,2910504.57758802,2025,0.046938177332516234
16,2988050.27689094,2025,0.048188769347826114
17,2949455.7900371,2025,0.04756634982581173
18,2957749.38003769,2025,0.04770010189106136
19,2839307.18653502,2025,0.045789965509524466
20,3105944.29733329,2025,0.05009006525389619
21,3003503.48936179,2025,0.048437985800842284
22,3095232.72337956,2025,0.049917317970960384
23,3065920.57820075,2025,0.04944459627212024
24,3322208.91204259,2025,0.05357779961931875
