ano_t,macroetapa_lbl,flag_promocao_A,flag_repetencia_A,flag_evasao_A,flag_naoprog_A,n_pessoa_A,flag_promocao_B,flag_repetencia_B,flag_evasao_B,flag_naoprog_B,n_pessoa_B,flag_promocao_C,flag_repetencia_C,flag_evasao_C,flag_naoprog_C,n_pessoa_C
2023,EF iniciais,0.5393715204460391,0.4058330259146488,0.0016669971820894385,0.4075000230967383,22787,0.44062066557104124,0.4682073918487889,0.008433295978182065,0.476640687826971,554,0.44062066557104124,0.4682073918487889,0.008433295978182065,0.476640687826971,554
2012,EM,0.4319374996203271,0.2143801657408702,0.2437032379280434,0.4580834036689136,14700,0.4426218708340216,0.13919752183276296,0.30119151643124503,0.440389038264008,381,0.4426218708340216,0.13919752183276296,0.30119151643124503,0.440389038264008,381
2013,EM,0.43043937035554236,0.20846987308489,0.23758793563470165,0.44605780871959166,14071,0.33874276401400255,0.18793640240385096,0.2979406486465385,0.4858770510503895,464,0.33874276401400255,0.18793640240385096,0.2979406486465385,0.4858770510503895,464
2014,EM,0.45693261186594947,0.18451119891873263,0.24815077506174563,0.43266197398047823,14472,0.4377369823423518,0.16269358730993308,0.2824142408092383,0.44510782811917143,464,0.4377369823423518,0.16269358730993308,0.2824142408092383,0.44510782811917143,464
2015,EM,0.46291804935186415,0.18488821483250675,0.24523805972854473,0.43012627456105146,10687,0.3712704875033525,0.19309358727376272,0.2657932624737594,0.45888684974752214,214,0.3712704875033525,0.19309358727376272,0.2657932624737594,0.45888684974752214,214
2016,EM,0.4563345891010294,0.20019404666628496,0.2372045317948224,0.43739857846110736,15874,0.42761299697301647,0.23295126429754365,0.1991103286780855,0.4320615929756292,233,0.42761299697301647,0.23295126429754365,0.1991103286780855,0.4320615929756292,233
2017,EM,0.4572135002984988,0.1935940517594395,0.24577645251718414,0.4393705042766236,14967,0.47914133244050433,0.14432484656853625,0.21624277247407017,0.3605676190426064,241,0.47914133244050433,0.14432484656853625,0.21624277247407017,0.3605676190426064,241
2018,EM,0.47242152025522216,0.18653478310323307,0.24542746769497764,0.4319622507982107,14323,0.40518382843955325,0.21444065617228555,0.22512774716889417,0.43956840334117975,296,0.40518382843955325,0.21444065617228555,0.22512774716889417,0.43956840334117975,296
2019,EM,0.4794068126099597,0.17980177992068958,0.24544597709504445,0.42524775701573403,13591,0.3822438888290837,0.2458246487491741,0.24461943938533062,0.4904440881345047,576,0.3822438888290837,0.2458246487491741,0.24461943938533062,0.4904440881345047,576
2020,EM,0.35958996783535074,0.4439097732959996,0.15157882484950694,0.5954885981455066,8938,0.39651254373296424,0.3539461954740962,0.1894655035973376,0.5434116990714338,415,0.39651254373296424,0.3539461954740962,0.1894655035973376,0.5434116990714338,415
2021,EM,0.40634446320845313,0.3225329054453455,0.21065263800283848,0.533185543448184,12181,0.373717769456304,0.2852586356903333,0.22885674205356765,0.5141153777439009,397,0.373717769456304,0.2852586356903333,0.22885674205356765,0.5141153777439009,397
2022,EM,0.35317130065598473,0.4397484110246085,0.15685655178247285,0.5966049628070813,12497,0.4437882206654188,0.2899248957709897,0.17483454429409154,0.4647594400650812,315,0.4437882206654188,0.2899248957709897,0.17483454429409154,0.4647594400650812,315
2023,EM,0.366793743318591,0.4295486190548764,0.14681894779392776,0.5763675668488042,12351,0.3391413243062037,0.3987159215482249,0.17568444735338323,0.5744003689016081,275,0.3391413243062037,0.3987159215482249,0.17568444735338323,0.5744003689016081,275
