ano,trim,macroetapa,categoria,valor,freq,n
2012,1,EF iniciais,raca,Parda,1.0,18675
2012,1,EF iniciais,raca,Preta,1.0,1872
2012,1,EM,raca,Branca,1.0,6732
2012,1,EM,raca,Parda,1.0,8417
2012,1,EM,raca,Preta,1.0,930
2012,2,EF finais,raca,Branca,1.0,11564
2012,2,EF finais,raca,Parda,1.0,18458
2012,2,EF finais,raca,Preta,1.0,1795
2012,2,EF iniciais,raca,Branca,1.0,15501
2012,2,EF iniciais,raca,Parda,1.0,25438
2012,2,EF iniciais,raca,Preta,1.0,2239
2012,2,EM,raca,Branca,1.0,8389
2012,2,EM,raca,Parda,1.0,11164
2012,2,EM,raca,Preta,1.0,1116
2012,3,EF finais,raca,Branca,1.0,11040
2012,3,EF finais,raca,Parda,1.0,17984
2012,3,EF finais,raca,Preta,1.0,1693
2012,3,EF iniciais,raca,Branca,1.0,14860
2012,3,EF iniciais,raca,Parda,1.0,25125
2012,3,EF iniciais,raca,Preta,1.0,2226
2012,3,EM,raca,Branca,1.0,7948
2012,3,EM,raca,Parda,1.0,10642
2012,3,EM,raca,Preta,1.0,1068
2012,4,EF finais,raca,Branca,1.0,10698
2012,4,EF finais,raca,Parda,1.0,17661
2012,4,EF finais,raca,Preta,1.0,1600
2012,4,EF iniciais,raca,Branca,1.0,13803
2012,4,EF iniciais,raca,Parda,1.0,24231
2012,4,EF iniciais,raca,Preta,1.0,2087
2012,4,EM,raca,Branca,1.0,7555
2012,4,EM,raca,Parda,1.0,10011
2012,4,EM,raca,Preta,1.0,997
2013,1,EF finais,raca,Branca,1.0,10551
2013,1,EF finais,raca,Parda,1.0,17871
2013,1,EF finais,raca,Preta,1.0,1642
2013,1,EF iniciais,raca,Branca,1.0,13121
2013,1,EF iniciais,raca,Parda,1.0,23036
2013,1,EF iniciais,raca,Preta,1.0,1941
2013,1,EM,raca,Branca,1.0,8001
2013,1,EM,raca,Parda,1.0,11144
2013,1,EM,raca,Preta,1.0,1042
2013,2,EF finais,raca,Branca,1.0,10479
2013,2,EF finais,raca,Parda,1.0,17640
2013,2,EF finais,raca,Preta,1.0,1510
2013,2,EF iniciais,raca,Branca,1.0,13507
2013,2,EF iniciais,raca,Parda,1.0,22893
2013,2,EF iniciais,raca,Preta,1.0,1755
2013,2,EM,raca,Branca,1.0,7743
2013,2,EM,raca,Parda,1.0,10590
2013,2,EM,raca,Preta,1.0,1021
2013,3,EF finais,raca,Branca,1.0,10338
2013,3,EF finais,raca,Parda,1.0,16650
2013,3,EF finais,raca,Preta,1.0,1590
2013,3,EF iniciais,raca,Branca,1.0,13402
2013,3,EF iniciais,raca,Parda,1.0,21791
2013,3,EF iniciais,raca,Preta,1.0,1801
2013,3,EM,raca,Branca,1.0,7468
2013,3,EM,raca,Parda,1.0,9760
2013,3,EM,raca,Preta,1.0,1016
2013,4,EF finais,raca,Branca,1.0,10104
2013,4,EF finais,raca,Parda,1.0,16292
2013,4,EF finais,raca,Preta,1.0,1574
2013,4,EF iniciais,raca,Branca,1.0,12795
2013,4,EF iniciais,raca,Parda,1.0,21575
2013,4,EF iniciais,raca,Preta,1.0,1774
2013,4,EM,raca,Branca,1.0,7196
2013,4,EM,raca,Parda,1.0,9396
2013,4,EM,raca,Preta,1.0,955
2014,1,EF finais,raca,Branca,1.0,9915
2014,1,EF finais,raca,Parda,1.0,16799
2014,1,EF finais,raca,Preta,1.0,1542
2014,1,EF iniciais,raca,Branca,1.0,12555
2014,1,EF iniciais,raca,Parda,1.0,21293
2014,1,EF iniciais,raca,Preta,1.0,1609
