ano,macroetapa,quintil,prom,rep,evas,eja,n
2022,EF iniciais,Q3,0.72744977868341,0.2620061863628622,0.0005904264121173146,0.0,1782
2023,EF iniciais,Q3,0.7045145330167691,0.2825119183423201,0.00747696015237973,0.0,2158
2012,EF iniciais,Q4,0.803927407390457,0.15929781791394093,0.010952209296181197,0.002321080100448249,2317
2013,EF iniciais,Q4,0.814054907525165,0.15701951373494372,0.012128390576185958,0.000549286476836546,2193
2014,EF iniciais,Q4,0.8272763400351942,0.14666745725452873,0.007991532690606082,0.001181142380440278,2149
2015,EF iniciais,Q4,0.8299204412953275,0.13614894864827246,0.004607038960371506,0.0,2478
2016,EF iniciais,Q4,0.8583113813998821,0.11548675398509103,0.0019671817162843644,0.001362697419657151,2450
2017,EF iniciais,Q4,0.8750951997948032,0.10888319381699638,0.003803044467325121,9.241161009687998e-05,2409
2018,EF iniciais,Q4,0.8748217310647796,0.10853784478867472,0.0018145827544274221,0.0001889670426809757,2340
2019,EF iniciais,Q4,0.883943587730293,0.10202557234715023,0.00419547033161503,0.0,2111
2020,EF iniciais,Q4,0.7640894079073132,0.2267251912055115,0.004886653388096051,0.0,1248
2021,EF iniciais,Q4,0.8414257296705208,0.15269154475617944,0.0007134789686293605,0.00032066263380863507,1582
2022,EF iniciais,Q4,0.7631874375095514,0.2287786674741733,0.0005203982290360834,0.0,1975
2023,EF iniciais,Q4,0.7188116860352459,0.2734009823859603,0.0019078743223194291,0.0,2018
2012,EF iniciais,Q5,0.8691497201059494,0.11257791831943822,0.005715206081131063,0.0,2045
2013,EF iniciais,Q5,0.8395304578163635,0.14313859141854493,0.0037452932062407517,0.0,1806
2014,EF iniciais,Q5,0.8620035657710649,0.1085989888159982,0.005450762400023696,0.0,1843
2015,EF iniciais,Q5,0.8571572260033845,0.1274198211194467,0.0,0.0,2322
2016,EF iniciais,Q5,0.8650440718656879,0.11954154404698844,0.001767411455214948,0.0004862113443364341,2381
2017,EF iniciais,Q5,0.8963724961940635,0.09719719801518602,0.0014920783286470945,0.0,2411
2018,EF iniciais,Q5,0.9083941031273636,0.08442310764092986,0.00020984262046444942,0.0,2484
2019,EF iniciais,Q5,0.8963833757409094,0.09336723092914638,0.0017272466067144473,0.0,2024
2020,EF iniciais,Q5,0.8180850347656822,0.1769446957552499,0.0,0.0,1220
2021,EF iniciais,Q5,0.8546628799073833,0.14296913956734617,0.0001548941180417119,0.0,1633
2022,EF iniciais,Q5,0.7700088212807161,0.22528485244831778,0.0020335002648884555,0.0,1920
2023,EF iniciais,Q5,0.7616682638529417,0.2317426520499989,0.00014849781019784928,0.0,2036
2012,EM,Q1,0.6821472715802753,0.15932002968257208,0.08903820877174487,0.00931316551188846,1126
2013,EM,Q1,0.6404814990552018,0.18010537143782082,0.0952335784253919,0.004852900628421541,1085
2014,EM,Q1,0.6624172899565893,0.1824907972305337,0.07512072046088283,0.0091782948999301,1139
2015,EM,Q1,0.6660029136282319,0.18225916721844454,0.10209482255604145,0.0030887848447702496,1067
2016,EM,Q1,0.7011218992098773,0.17477796981427504,0.07026175038756206,0.005222806686408738,1176
2017,EM,Q1,0.7573869285585887,0.1351022652291657,0.06615228404131916,0.0009432621407802174,1103
2018,EM,Q1,0.7323376389493784,0.14136369554261174,0.08223938759416344,0.002562386182570915,1154
2019,EM,Q1,0.7243290758919705,0.17199186760288002,0.06408098507581576,0.004116816931693844,1028
2021,EM,Q1,0.7182799781107785,0.17184520867771666,0.08138307577690512,0.006335169084083659,864
2022,EM,Q1,0.6438964992817796,0.2691678542985633,0.06774714245140684,0.0,992
2023,EM,Q1,0.6381806598503239,0.2946500726918208,0.04911884526897131,0.0,997
2012,EM,Q2,0.6689495932083104,0.1569523833197991,0.08952560444997273,0.010089004002456499,1218
2013,EM,Q2,0.696406379471843,0.127563332060872,0.10452203310322254,0.009648849738482302,1098
2014,EM,Q2,0.7024976687334847,0.16528630419134693,0.07593797344136888,0.008689923918437294,1265
2015,EM,Q2,0.7004398605168305,0.15131026950012702,0.11239956499105846,0.0,1157
2016,EM,Q2,0.6876860450245819,0.176769311829272,0.09122470040349678,0.003866353620608674,1110
2017,EM,Q2,0.6955875441848814,0.171569941983188,0.08525001152907519,0.003669233901114164,1123
2018,EM,Q2,0.716914911958703,0.13555532112572993,0.1138533804103881,0.0028469252716113694,1159
2019,EM,Q2,0.7482968549952256,0.15891725449399627,0.053828815227488946,0.001593010111121762,999
2020,EM,Q2,0.5762354844075774,0.350872914235553,0.03445140173283992,0.004786284525003699,1285
