ano,serie,categoria,valor,defasado,n
2014,3o EF,raca,Preta,0.24892384239137066,350
2014,3o EF,sexo,Homem,0.13677354548884874,3922
2014,3o EF,sexo,Mulher,0.0934656415798555,3447
2015,3o EF,raca,Branca,0.06790599462737291,2639
2015,3o EF,raca,Parda,0.12265469825366983,4413
2015,3o EF,raca,Preta,0.1465640818273548,325
2015,3o EF,sexo,Homem,0.11883681792315104,3964
2015,3o EF,sexo,Mulher,0.08294024646922724,3450
2016,3o EF,raca,Branca,0.062191029754562935,2680
2016,3o EF,raca,Parda,0.11225452293509527,4689
2016,3o EF,raca,Preta,0.13712226735449237,436
2016,3o EF,sexo,Homem,0.11210956678241187,4276
2016,3o EF,sexo,Mulher,0.07213397212402216,3564
2017,3o EF,raca,Branca,0.04956997390115096,2621
2017,3o EF,raca,Parda,0.09808220243923298,4598
2017,3o EF,raca,Preta,0.11457222189862354,436
2017,3o EF,sexo,Homem,0.08574378213127187,4131
2017,3o EF,sexo,Mulher,0.07342239892536681,3568
2018,3o EF,raca,Branca,0.048106742150682044,2480
2018,3o EF,raca,Parda,0.08778425156092122,4157
2018,3o EF,raca,Preta,0.10922010740256771,462
2018,3o EF,sexo,Homem,0.09018939009544422,3774
2018,3o EF,sexo,Mulher,0.053563961502001246,3398
2019,3o EF,raca,Branca,0.046023961051403085,2642
2019,3o EF,raca,Parda,0.08547673536380572,4205
2019,3o EF,raca,Preta,0.09835943729670715,473
2019,3o EF,sexo,Homem,0.08769042230928871,3946
2019,3o EF,sexo,Mulher,0.05107436689317401,3453
2020,3o EF,raca,Branca,0.04727304560111943,1697
2020,3o EF,raca,Parda,0.05114279929988707,2784
2020,3o EF,raca,Preta,0.07594047188763144,302
2020,3o EF,sexo,Homem,0.0633834820555079,2503
2020,3o EF,sexo,Mulher,0.03802437803710311,2310
2021,3o EF,raca,Branca,0.04581492334371535,1459
2021,3o EF,raca,Parda,0.09756353027737552,2376
2021,3o EF,raca,Preta,0.09124956406592592,259
2021,3o EF,sexo,Homem,0.09594239527806961,2164
2021,3o EF,sexo,Mulher,0.05540338834233901,1955
2022,3o EF,raca,Branca,0.02520156117789732,2033
2022,3o EF,raca,Parda,0.065622544203589,3005
2022,3o EF,raca,Preta,0.05855177233366898,416
2022,3o EF,sexo,Homem,0.05970847427146095,2908
2022,3o EF,sexo,Mulher,0.036253756357825066,2596
2023,3o EF,raca,Branca,0.03852058446936546,2089
2023,3o EF,raca,Parda,0.06275667956160534,3123
2023,3o EF,raca,Preta,0.060128055519939556,395
2023,3o EF,sexo,Homem,0.061823695680325925,2927
2023,3o EF,sexo,Mulher,0.04301512615146151,2760
