ano,idade,categoria,valor,ef,em,sup,n
2023,14,raca,Preta,0.09617507106893068,0.0,0.0,2212
2023,15,raca,Preta,0.483113415389101,0.0,0.0,2270
2023,16,raca,Preta,0.7945172992367041,0.0010939622943894772,0.0,2495
2023,17,raca,Preta,0.8552117136040028,0.056403518920290927,0.0,2615
2023,18,raca,Preta,0.8869687324922625,0.4004888769531658,0.0011387741133228714,2523
2023,19,raca,Preta,0.9084100564835453,0.6407145378263767,0.0016739929972623881,2542
2023,20,raca,Preta,0.9049949993679306,0.6702562712037557,0.013396488783905638,2574
2023,21,raca,Preta,0.91757322898294,0.6716663327014113,0.013356393262903906,2580
2023,22,raca,Preta,0.8985788210706988,0.7001136042599112,0.03711063022448181,2744
2023,23,raca,Preta,0.8851990481438314,0.6881511972175854,0.06865749561727445,2954
2023,24,raca,Preta,0.8845162774610644,0.708214948759231,0.10894341061547103,2801
2023,25,raca,Preta,0.866414364942107,0.6813752654632256,0.1154149255989766,2884
2023,26,raca,Preta,0.8880452906041372,0.7374895863977546,0.13562601846647138,2758
2023,27,raca,Preta,0.8721294835051171,0.7021062484248289,0.17401884722019476,2830
2023,28,raca,Preta,0.8878244929296903,0.7327470123557819,0.17308615307820582,2807
2023,29,raca,Preta,0.8681463513596257,0.7063666920227273,0.1767391449723694,2610
2025,14,raca,Preta,0.10112880708952622,0.0,0.0,2215
2025,15,raca,Preta,0.573368980157737,0.0,0.0,2324
2025,16,raca,Preta,0.8075318505350023,0.004762034741808292,0.0,2360
2025,17,raca,Preta,0.8939943422261495,0.08595206596464497,0.0,2377
2025,18,raca,Preta,0.9091590796223024,0.45370126057030596,0.0007894576225867444,2600
2025,19,raca,Preta,0.933018642013005,0.6647964569221414,0.009923862566392067,2583
2025,20,raca,Preta,0.92109516046628,0.6828744091237533,0.011923913276077348,2550
2025,21,raca,Preta,0.9162890385895268,0.7395988631941752,0.019275544090621134,2494
2025,22,raca,Preta,0.9038569092176179,0.7473254799355782,0.040502720437102874,2749
2025,23,raca,Preta,0.9285498498344409,0.7479097611516722,0.07145967411778217,2547
2025,24,raca,Preta,0.9178229989942396,0.758572971019762,0.110388799926448,2766
2025,25,raca,Preta,0.9008858912693254,0.7298471785987878,0.12377725412210229,2853
2025,26,raca,Preta,0.9176633483253658,0.7352558755282814,0.12953674481881286,2674
2025,27,raca,Preta,0.8885297326054604,0.7238320390794789,0.171187660229624,2843
2025,28,raca,Preta,0.8842686776883023,0.7404880252526934,0.1589046355569129,2843
2025,29,raca,Preta,0.8847006232239168,0.7174728541728971,0.1771675901338295,2775
2015,14,sexo,Homem,0.16457668830480968,0.0,0.0,20767
2015,15,sexo,Homem,0.4802957136013554,0.0,0.0,22344
2015,16,sexo,Homem,0.6616473124600465,0.010919398552818226,0.0,21556
2015,17,sexo,Homem,0.7517182423476343,0.1269639341739168,0.0,21121
2015,18,sexo,Homem,0.7847938509279749,0.34492845466820415,0.0007838187128196886,20813
2015,19,sexo,Homem,0.8136011702048226,0.4714241371015546,0.002013016748302298,19450
2015,20,sexo,Homem,0.8166177385938762,0.5392025716188742,0.004137592134116085,19028
2015,21,sexo,Homem,0.8086377173682405,0.5659037995676843,0.019000183212045094,17386
2015,22,sexo,Homem,0.8078492141231398,0.5729782011861471,0.037282268564464864,17300
2015,23,sexo,Homem,0.8136909352585819,0.5944809336168269,0.06728645944418031,16658
2015,24,sexo,Homem,0.8092338361665289,0.6050558838994823,0.09972192145822226,16507
2015,25,sexo,Homem,0.8048943282459783,0.6038032884720885,0.11123887593748648,16515
2015,26,sexo,Homem,0.8030205716775807,0.6057701466694445,0.1256357406475888,16134
2015,27,sexo,Homem,0.7914146085437133,0.6037617231423499,0.14347248580246263,16344
2015,28,sexo,Homem,0.7800620892975841,0.5985821446418645,0.14300209340143843,16542
2015,29,sexo,Homem,0.7800122346325096,0.5926196353399603,0.15606361960566523,16679
2017,14,sexo,Homem,0.13851721048853946,0.0,0.0,19232
2017,15,sexo,Homem,0.4922995771979804,0.0,0.0,19610
2017,16,sexo,Homem,0.6729576243420533,0.010424455930941748,0.0,20644
2017,17,sexo,Homem,0.7713192053919152,0.13201910634224542,0.0,20733
2017,18,sexo,Homem,0.8196905198387734,0.39037928505969427,0.0010442832277932994,20478
2017,19,sexo,Homem,0.8361927907064844,0.5184410659776905,0.003561072473489684,19273
2017,20,sexo,Homem,0.8439910398324212,0.5855070957403486,0.0071100441067779,18769
2017,21,sexo,Homem,0.8263263112335365,0.583284032512838,0.020020701496873097,18101
2017,22,sexo,Homem,0.8326913093705175,0.6085437356763077,0.04387203372554556,18236
2017,23,sexo,Homem,0.8313173166450607,0.6093108574572949,0.06429690372358889,17447
2017,24,sexo,Homem,0.8210736229441778,0.6260972534635686,0.0961306949837413,16425
2017,25,sexo,Homem,0.8167000284951758,0.6277052642731031,0.11712518804396406,16504
2017,26,sexo,Homem,0.8226333219150838,0.6354179399909388,0.14465519182105757,15852
2017,27,sexo,Homem,0.8101652560801552,0.6166024826082813,0.16065918697567752,16117
2017,28,sexo,Homem,0.8030148006066798,0.6136308878833231,0.15079223493600563,16017
2017,29,sexo,Homem,0.7956732167538697,0.6127763078260835,0.16727773519641823,15653
2019,14,sexo,Homem,0.11519106741723056,0.0,0.0,17846
2019,15,sexo,Homem,0.49726574736953194,0.0,0.0,18064
2019,16,sexo,Homem,0.7045508413937424,0.007223263249488063,0.0,18194
2019,17,sexo,Homem,0.793725733281746,0.11790246573408525,0.0,17953
2019,18,sexo,Homem,0.8505376534381365,0.4072707558038083,0.0014273195350855764,18740
2019,19,sexo,Homem,0.8624743779563695,0.5641716940142305,0.002805221353804016,18627
2019,20,sexo,Homem,0.8588066710941659,0.6256031481047825,0.009448471099472272,17193
2019,21,sexo,Homem,0.8569231909265981,0.6488187884415503,0.0232095521856117,16602
2019,22,sexo,Homem,0.8618373297275266,0.6618771255781242,0.05653443491463913,16822
2019,23,sexo,Homem,0.8566196601320161,0.653331238423858,0.07809651153541128,16719
2019,24,sexo,Homem,0.8450789161126193,0.6536286285554092,0.10392251389886353,16112
2019,25,sexo,Homem,0.8323503477076934,0.6432349964741916,0.12860187371549092,15560
2019,26,sexo,Homem,0.824473420091952,0.6232641298746676,0.13383223567724162,15323
2019,27,sexo,Homem,0.8272646492869173,0.6506762323794658,0.16951368304349884,14688
2019,28,sexo,Homem,0.8174823751693774,0.6525437900932669,0.18408371881541394,14718
2019,29,sexo,Homem,0.8240587141766454,0.6481381343020708,0.19086676308036835,14615
